Which odd won,Lowest 2 values
15,"1.22, 6"
1.5,"1.5, 4.33"
1.53,"1.53, 4.2"
2.15,"2.15, 3.1"
2.05,"2.05, 3.3"
4,"1.6, 4"
2.25,"2.25, 3.3"
1.61,"1.61, 4"
3.5,"1.75, 3.5"
2.55,"2.55, 2.87"
3.1,"2.5, 3"
10,"1.28, 5.75"
1.5,"1.5, 4.33"
1.53,"1.53, 3.8"
3.4,"2.3, 3.1"
3,"2.37, 3"
2.45,"2.45, 2.87"
1.57,"1.57, 3.75"
3.6,"2.1, 3.3"
3.3,"2.25, 3.3"
3.5,"2.1, 3.4"
3.5,"2.05, 3.5"
1.66,"1.66, 3.5"
3.8,"1.7, 3.8"
1.33,"1.33, 5.25"
4.33,"1.66, 4.33"
4,"1.57, 4"
1.75,"1.75, 3.8"
1.36,"1.36, 4.75"
1.53,"1.53, 3.8"
3.75,"2, 3.5"
6.5,"1.22, 6.5"
1.75,"1.75, 3.6"
5.25,"1.75, 3.4"
3.9,"2, 3.4"
4.2,"1.75, 4"
3.6,"1.85, 3.6"
1.4,"1.4, 4.33"
3.8,"1.9, 3.8"
1.33,"1.33, 5"
2.05,"2.05, 3.5"
1.44,"1.44, 4.4"
3.8,"1.95, 3.6"
2,"2, 3.6"
1.25,"1.25, 6"
3.2,"2.5, 2.9"
2.2,"2.2, 3.1"
8,"1.4, 4.75"
3.4,"2, 3.4"
2.45,"2.45, 3"
4.2,"1.9, 3.4"
1.25,"1.25, 6"
3.3,"2.2, 3.3"
1.8,"1.8, 3.8"
3.2,"2.2, 3.2"
1.44,"1.44, 4.5"
3.3,"2.2, 3.3"
2.8,"2.5, 2.8"
2.05,"2.05, 3.5"
5,"1.65, 4"
3.4,"2.6, 2.7"
2.2,"2.2, 3"
1.25,"1.25, 6"
2.1,"2.1, 3.2"
2,"2, 3.6"
3.6,"2.3, 2.9"
3,"2.25, 3"
1.5,"1.5, 4.33"
1.22,"1.22, 6.5"
8.5,"1.36, 4.75"
6,"1.28, 6"
2.5,"2.5, 2.55"
7,"1.45, 4.5"
1.7,"1.7, 3.75"
1.85,"1.85, 3.6"
1.72,"1.72, 3.8"
6,"1.5, 4.5"
1.5,"1.5, 4.5"
1.22,"1.22, 7"
1.6,"1.6, 4.33"
1.57,"1.57, 4.33"
6.5,"1.45, 4.6"
3.3,"2.05, 3.3"
1.4,"1.4, 5.25"
3.3,"2, 3.3"
1.14,"1.14, 8.5"
1.44,"1.44, 5"
2.8,"2.4, 2.8"
1.65,"1.65, 4"
2.7,"2.5, 2.7"
4,"1.95, 3.4"
1.53,"1.53, 4.5"
